Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
DRR898409_1	(17.0, 41.0)	(18.0, 390.0)	(19.0, 1256.0)	(20.0, 2284.0)	(21.0, 2612.0)	(22.0, 2684.0)	(23.0, 2826.0)	(24.0, 3274.0)	(25.0, 3784.0)	(26.0, 4433.0)	(27.0, 5224.0)	(28.0, 6630.0)	(29.0, 7993.0)	(30.0, 10457.0)	(31.0, 15527.0)	(32.0, 34154.0)	(33.0, 80644.0)	(34.0, 87987.0)	(35.0, 89705.0)	(36.0, 91402.0)	(37.0, 116391.0)	(38.0, 196582.0)	(39.0, 1253873.0)	(40.0, 979204.0)												
DRR898409_2	(14.0, 2.0)	(15.0, 21.0)	(16.0, 195.0)	(17.0, 793.0)	(18.0, 1897.0)	(19.0, 2688.0)	(20.0, 3110.0)	(21.0, 2811.0)	(22.0, 2654.0)	(23.0, 2734.0)	(24.0, 3117.0)	(25.0, 3470.0)	(26.0, 3968.0)	(27.0, 4777.0)	(28.0, 6176.0)	(29.0, 8356.0)	(30.0, 12488.0)	(31.0, 18691.0)	(32.0, 28503.0)	(33.0, 42800.0)	(34.0, 61760.0)	(35.0, 81280.0)	(36.0, 120060.0)	(37.0, 168700.0)	(38.0, 286120.0)	(39.0, 1335710.0)	(40.0, 796476.0)									
DRR898410_1	(17.0, 63.0)	(18.0, 450.0)	(19.0, 1575.0)	(20.0, 3161.0)	(21.0, 3566.0)	(22.0, 3665.0)	(23.0, 3894.0)	(24.0, 4380.0)	(25.0, 4822.0)	(26.0, 5635.0)	(27.0, 6385.0)	(28.0, 7516.0)	(29.0, 8901.0)	(30.0, 10803.0)	(31.0, 13094.0)	(32.0, 17520.0)	(33.0, 23930.0)	(34.0, 31078.0)	(35.0, 44293.0)	(36.0, 71290.0)	(37.0, 120373.0)	(38.0, 292746.0)	(39.0, 2256229.0)	(40.0, 1337270.0)												
DRR898410_2	(14.0, 4.0)	(15.0, 100.0)	(16.0, 763.0)	(17.0, 2617.0)	(18.0, 5179.0)	(19.0, 6781.0)	(20.0, 7852.0)	(21.0, 7115.0)	(22.0, 6384.0)	(23.0, 6220.0)	(24.0, 6481.0)	(25.0, 7084.0)	(26.0, 7785.0)	(27.0, 8233.0)	(28.0, 9505.0)	(29.0, 11080.0)	(30.0, 12692.0)	(31.0, 14821.0)	(32.0, 18789.0)	(33.0, 24152.0)	(34.0, 32378.0)	(35.0, 47022.0)	(36.0, 77915.0)	(37.0, 138798.0)	(38.0, 350657.0)	(39.0, 2362297.0)	(40.0, 1099935.0)									
DRR898411_1	(16.0, 2.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 5.0)	(20.0, 15.0)	(21.0, 43.0)	(22.0, 88.0)	(23.0, 184.0)	(24.0, 484.0)	(25.0, 964.0)	(26.0, 1820.0)	(27.0, 2527.0)	(28.0, 3954.0)	(29.0, 5660.0)	(30.0, 7628.0)	(31.0, 9697.0)	(32.0, 12415.0)	(33.0, 15240.0)	(34.0, 18816.0)	(35.0, 23535.0)	(36.0, 29650.0)	(37.0, 40672.0)	(38.0, 64635.0)	(39.0, 135888.0)	(40.0, 705209.0)											
DRR898411_2	(12.0, 2.0)	(13.0, 15.0)	(14.0, 68.0)	(15.0, 95.0)	(16.0, 166.0)	(17.0, 364.0)	(18.0, 694.0)	(19.0, 1186.0)	(20.0, 1834.0)	(21.0, 2600.0)	(22.0, 3529.0)	(23.0, 4431.0)	(24.0, 5476.0)	(25.0, 6543.0)	(26.0, 7948.0)	(27.0, 9259.0)	(28.0, 10432.0)	(29.0, 12110.0)	(30.0, 14184.0)	(31.0, 16225.0)	(32.0, 18992.0)	(33.0, 22340.0)	(34.0, 27488.0)	(35.0, 34001.0)	(36.0, 43194.0)	(37.0, 58875.0)	(38.0, 88420.0)	(39.0, 169271.0)	(40.0, 519390.0)							
DRR898421_1	(17.0, 24.0)	(18.0, 253.0)	(19.0, 1036.0)	(20.0, 1851.0)	(21.0, 2274.0)	(22.0, 2365.0)	(23.0, 2717.0)	(24.0, 2838.0)	(25.0, 3324.0)	(26.0, 3792.0)	(27.0, 4080.0)	(28.0, 4973.0)	(29.0, 6044.0)	(30.0, 7151.0)	(31.0, 8839.0)	(32.0, 12544.0)	(33.0, 20514.0)	(34.0, 31738.0)	(35.0, 40881.0)	(36.0, 54186.0)	(37.0, 73060.0)	(38.0, 140461.0)	(39.0, 968133.0)	(40.0, 839466.0)												
DRR898421_2	(14.0, 1.0)	(15.0, 17.0)	(16.0, 110.0)	(17.0, 406.0)	(18.0, 938.0)	(19.0, 1597.0)	(20.0, 2041.0)	(21.0, 1994.0)	(22.0, 1946.0)	(23.0, 1916.0)	(24.0, 2157.0)	(25.0, 2364.0)	(26.0, 2761.0)	(27.0, 3203.0)	(28.0, 4343.0)	(29.0, 6763.0)	(30.0, 10977.0)	(31.0, 17814.0)	(32.0, 24493.0)	(33.0, 28336.0)	(34.0, 32829.0)	(35.0, 39144.0)	(36.0, 52775.0)	(37.0, 79225.0)	(38.0, 149483.0)	(39.0, 1046201.0)	(40.0, 718710.0)									
DRR898438_1	(16.0, 1.0)	(17.0, 9.0)	(18.0, 135.0)	(19.0, 532.0)	(20.0, 1158.0)	(21.0, 1163.0)	(22.0, 1239.0)	(23.0, 1245.0)	(24.0, 1423.0)	(25.0, 1619.0)	(26.0, 1937.0)	(27.0, 2128.0)	(28.0, 2548.0)	(29.0, 2993.0)	(30.0, 3782.0)	(31.0, 4515.0)	(32.0, 6066.0)	(33.0, 8867.0)	(34.0, 13259.0)	(35.0, 18108.0)	(36.0, 27861.0)	(37.0, 45940.0)	(38.0, 109353.0)	(39.0, 999120.0)	(40.0, 1286266.0)											
DRR898438_2	(14.0, 2.0)	(15.0, 56.0)	(16.0, 540.0)	(17.0, 2150.0)	(18.0, 3680.0)	(19.0, 4009.0)	(20.0, 3888.0)	(21.0, 3331.0)	(22.0, 2854.0)	(23.0, 2740.0)	(24.0, 2923.0)	(25.0, 3160.0)	(26.0, 3315.0)	(27.0, 3501.0)	(28.0, 4130.0)	(29.0, 4613.0)	(30.0, 5146.0)	(31.0, 6020.0)	(32.0, 7479.0)	(33.0, 9548.0)	(34.0, 12894.0)	(35.0, 18414.0)	(36.0, 30538.0)	(37.0, 55239.0)	(38.0, 143390.0)	(39.0, 1184169.0)	(40.0, 1023538.0)									
